IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000fe	
2	.text	00000000	TEXT
3	xdp	00000088	TEXT
4	.relxdp	00000020	
5	.data	0000000c	DATA
6	.rodata	00000009	DATA
7	license	00000004	DATA
8	.debug_abbrev	000000ed	DEBUG
9	.debug_info	000000f3	DEBUG
10	.rel.debug_info	00000040	
11	.debug_str_offsets	00000060	DEBUG
12	.rel.debug_str_offsets	00000160	
13	.debug_str	00000106	DEBUG
14	.debug_addr	00000028	DEBUG
15	.rel.debug_addr	00000040	
16	.BTF	00000245	
17	.rel.BTF	00000030	
18	.BTF.ext	000000d0	
19	.rel.BTF.ext	000000a0	
20	.debug_frame	00000028	DEBUG
21	.rel.debug_frame	00000020	
22	.debug_line	000000d1	DEBUG
23	.rel.debug_line	000000b0	
24	.debug_line_str	000000bc	DEBUG
25	.llvm_addrsig	00000004	
26	.symtab	00000168	
