IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	000000fe	
2	.text	000000e0	TEXT
3	.rel.text	00000020	
4	xdp	000000b0	TEXT
5	.relxdp	00000020	
6	license	00000004	DATA
7	.debug_abbrev	000000a3	DEBUG
8	.debug_info	000000ca	DEBUG
9	.rel.debug_info	00000050	
10	.debug_rnglists	00000019	DEBUG
11	.debug_str_offsets	00000058	DEBUG
12	.rel.debug_str_offsets	00000140	
13	.debug_str	000000e9	DEBUG
14	.debug_addr	00000028	DEBUG
15	.rel.debug_addr	00000040	
16	.BTF	00000266	
17	.rel.BTF	00000010	
18	.BTF.ext	00000240	
19	.rel.BTF.ext	00000210	
20	.debug_frame	00000058	DEBUG
21	.rel.debug_frame	00000060	
22	.debug_line	00000115	DEBUG
23	.rel.debug_line	00000080	
24	.debug_line_str	00000062	DEBUG
25	.llvm_addrsig	00000004	
26	.symtab	00000180	
