IDX	NAME	SIZE	TYPE
0	00000000	0000000000000000	
1	.strtab	00000101	
2	.text	000000e0	TEXT
3	xdp	000000b0	TEXT
4	.relxdp	00000020	
5	license	00000004	DATA
6	.debug_abbrev	000000b8	DEBUG
7	.debug_info	000000ca	DEBUG
8	.rel.debug_info	00000050	
9	.debug_rnglists	00000019	DEBUG
10	.debug_str_offsets	00000058	DEBUG
11	.rel.debug_str_offsets	00000140	
12	.debug_str	000000f0	DEBUG
13	.debug_addr	00000028	DEBUG
14	.rel.debug_addr	00000040	
15	.BTF	0000027b	
16	.rel.BTF	00000010	
17	.BTF.ext	00000240	
18	.rel.BTF.ext	00000210	
19	.debug_frame	00000058	DEBUG
20	.rel.debug_frame	00000060	
21	.debug_line	00000115	DEBUG
22	.rel.debug_line	00000080	
23	.debug_line_str	00000070	DEBUG
24	.llvm_addrsig	00000004	
25	.symtab	00000180	
